2019-11-08 10:05:08.2248 | INFO | Auto configuration: True
2019-11-08 10:05:08.6487 | INFO | RestService started at http://localhost:8888/
2019-11-08 10:05:08.7963 | INFO | RestService stopped
2019-11-08 10:05:08.8242 | INFO | Auto configuration: True
2019-11-08 10:05:08.8442 | INFO | Service started
2019-11-08 10:05:09.0197 | INFO | RestService started at http://localhost:8888/
2019-11-08 10:56:48.9720 | INFO | Auto configuration: True
2019-11-08 10:56:49.3851 | INFO | RestService started at http://localhost:8888/
2019-11-08 10:56:49.5292 | INFO | RestService stopped
2019-11-08 10:56:49.5292 | INFO | Auto configuration: True
2019-11-08 10:56:49.5786 | INFO | Service started
2019-11-08 10:56:49.7753 | INFO | RestService started at http://localhost:8888/
2019-11-08 10:57:02.0721 | INFO | RestService stopped
2019-11-08 10:57:02.0721 | INFO | RestService stopped
2019-11-08 10:57:20.9428 | INFO | Auto configuration: True
2019-11-08 10:57:21.2296 | INFO | RestService started at http://localhost:8888/
2019-11-08 10:57:21.3602 | INFO | RestService stopped
2019-11-08 10:57:21.3602 | INFO | Auto configuration: True
2019-11-08 10:57:21.3991 | INFO | Service started
2019-11-08 10:57:21.5876 | INFO | RestService started at http://localhost:8888/
2019-11-08 10:59:13.8199 | INFO | RestService stopped
2019-11-08 10:59:13.8329 | INFO | RestService stopped
2019-11-08 11:09:06.2375 | INFO | Auto configuration: True
2019-11-08 11:09:06.5177 | INFO | RestService started at http://localhost:8888/
2019-11-08 11:09:06.6544 | INFO | RestService stopped
2019-11-08 11:09:06.6544 | INFO | Auto configuration: True
2019-11-08 11:09:06.7042 | INFO | Service started
2019-11-08 11:09:06.8728 | INFO | RestService started at http://localhost:8888/
2019-11-08 11:11:50.1241 | INFO | Auto configuration: True
2019-11-08 11:11:50.4067 | INFO | RestService started at http://localhost:8888/
2019-11-08 11:11:50.5711 | INFO | RestService stopped
2019-11-08 11:11:50.6294 | INFO | Auto configuration: True
2019-11-08 11:11:50.6389 | INFO | Service started
2019-11-08 11:11:50.8249 | INFO | RestService started at http://localhost:8888/
2019-11-08 11:14:43.0595 | INFO | Auto configuration: True
2019-11-08 11:14:43.3376 | INFO | RestService started at http://localhost:8888/
2019-11-08 11:14:43.4895 | INFO | RestService stopped
2019-11-08 11:14:43.5127 | INFO | Auto configuration: True
2019-11-08 11:14:43.5446 | INFO | Service started
2019-11-08 11:14:43.7451 | INFO | RestService started at http://localhost:8888/
2019-11-08 11:15:29.2574 | INFO | Auto configuration: True
2019-11-08 11:15:29.5601 | INFO | RestService started at http://localhost:8888/
2019-11-08 11:15:29.7237 | INFO | RestService stopped
2019-11-08 11:15:29.7329 | INFO | Auto configuration: True
2019-11-08 11:15:29.7831 | INFO | Service started
2019-11-08 11:15:30.0003 | INFO | RestService started at http://localhost:8888/
2019-11-08 11:17:16.3915 | INFO | Auto configuration: True
2019-11-08 11:17:51.5291 | INFO | RestService started at http://localhost:8888/
2019-11-08 11:17:58.9272 | INFO | RestService stopped
2019-11-08 11:17:58.9272 | INFO | Auto configuration: True
2019-11-08 11:17:58.9730 | INFO | Service started
2019-11-08 11:18:02.8637 | INFO | RestService started at http://localhost:8888/
